Acount_number,Open_Date,Balance,Account_Type,Client ID,Bank Id
1,351905,81910,Business,52556980,6610
2,12291951,2144,Business,753466769,816
3,8242003,98546,Savings,976825155,2372
4,12251976,90919,Business,346146468,3606
5,3251981,57892,Checking,355885766,9132
6,1301966,72731,Business,71419813,5742
7,3101935,37518,Savings,456849660,3396
8,681933,92712,Checking,932693667,1736
9,12231962,4333,Business,124554787,9859
10,9121995,10806,Savings,229807934,2348
11,10261912,94779,Business,885228783,5919
12,8201940,92364,Business,195677365,6417
13,911991,49713,Business,577640779,6221
14,7251944,53855,Savings,248445879,8670
15,2131965,92992,Savings,852789812,8738
16,442006,87870,Savings,374412319,2568
17,11261900,32485,Checking,457571259,6713
18,5211925,48137,Checking,668729236,1303
19,4101983,43937,Business,23634789,8769
20,4191980,12403,Business,960207441,9957
21,2121916,75978,Checking,75808550,6354
22,2182017,55723,Checking,947230028,1875
23,12131924,78762,Business,604246769,3722
24,522017,65342,Savings,960207441,6518
25,831904,76542,Savings,23634789,8726
26,5201958,42596,Checking,310057167,8597
27,12251994,21551,Business,48311726,1800
28,11231968,41800,Savings,202067048,4525
29,1221957,14531,Savings,464089763,6713
30,171988,52961,Business,4607610,3632
31,11272010,48046,Business,802669465,925
32,881990,14198,Business,89473194,8060
33,411967,8055,Business,403335889,3298
34,10152016,82833,Checking,538982028,3496
35,642002,63660,Business,77604807,5555
36,5281903,98493,Business,46254338,751
37,1171978,68964,Savings,990082798,2888
38,561923,80575,Savings,378271606,9692
39,5131927,29913,Checking,631942593,2440
40,6181981,35416,Business,631942593,9767
41,5261998,59899,Checking,143031595,212
42,9261999,4350,Savings,908213685,277
43,7161968,27416,Savings,261184594,7030
44,11211940,85352,Business,802669465,9767
45,9101922,77945,Savings,548897529,8537
46,3121951,91347,Savings,658295129,3338
47,2252014,53971,Business,187120458,8670
48,8311912,86807,Checking,226072439,2376
49,6241920,31343,Savings,92464845,3155
50,2102023,34845,Checking,187120458,669
51,471997,4683,Savings,845490264,751
52,11181984,73380,Business,138266928,2082
53,8181969,81456,Checking,213195563,9957
54,1121997,80683,Savings,711738046,7697
55,4191977,99545,Savings,604246769,816
56,331938,45079,Business,431052441,9022
57,1262001,90291,Checking,993889395,3722
58,1161945,84211,Savings,861635578,5376
59,12181925,71575,Business,456849660,758
60,551998,45104,Business,240676580,3255
61,5122008,25657,Savings,970715686,1359
62,5252024,72050,Savings,188007870,4733
63,7112007,5142,Savings,828263651,3118
64,4221917,4262,Checking,824428004,4842
65,7212000,12762,Business,43091725,8769
66,871966,28355,Checking,738328922,1551
67,941984,87656,Checking,773880066,957
68,3111986,61781,Business,60977664,9425
69,8191931,38900,Business,845490264,212
70,5102017,5742,Savings,48311726,8199
71,5102014,86482,Checking,475383606,2376
72,1926-06-31,92403,Business,974282882,5919
73,12201908,56127,Savings,444276383,4395
74,12171956,31548,Savings,906226351,2784
75,11241963,77112,Checking,531232151,1359
76,11181993,91980,Checking,51865669,2376
77,2261901,89257,Checking,970715686,4395
78,3221932,31453,Savings,667378468,5011
79,611907,93607,Checking,92464845,6844
80,952019,49077,Checking,721230844,6284
81,4281935,83916,Business,272421763,1039
82,331910,48866,Checking,366136915,9859
83,6111984,6305,Business,487216003,4620
84,2111953,5483,Checking,565399395,879
85,1021904,66204,Savings,378841848,9592
86,2111961,26096,Checking,434192002,5694
87,11182003,5726,Savings,232499560,9104
88,692003,66868,Business,711738046,8669
89,881922,70614,Savings,12032151,212
90,2101916,31073,Checking,824428004,9320
91,12141964,3797,Savings,972195432,9938
92,1181998,39765,Business,992781160,8769
93,6251950,13379,Savings,701202160,277
94,6131923,24207,Business,906226351,1965
95,9161964,70306,Business,45487611,6284
