transaction_id,created_at,recipient_bank,account_number,amount,unique_code,transaction_status,admin_fee,user_id
FTRYBJOYCJA,2024-05-07 21:08:13.858795,Ovo,1710887668,2282151.0,530.0,Success,0,7465772
FTSTPJTXXZL,2024-02-19 21:08:13.870879,Mandiri,5934574279,4058252.0,447.0,Cancelled,1500,7810448
FTVKMWMBCPU,2023-01-20 21:08:13.873997,LinkAja,7217595401,1827735.0,74.0,Cancelled,1500,9465231
FTEKYOSBHOR,2023-12-14 21:08:13.877003,Ovo,6110248727,2909758.0,118.0,Failed,0,2488319
FTJIHVLJMGD,2023-05-17 21:08:13.880003,Maybank,4233981144,4691368.0,673.0,Processed,1500,7780649
FTNYAKGZEUA,2023-08-28 21:08:13.882076,Shopeepay,6441461421,2842166.0,936.0,Need Confirmation,1500,6107905
FTCUIGIXITW,2022-12-21 21:08:13.884084,Dana,5459240761,2329815.0,659.0,Success,1500,8640712
FTJQKGAMLPI,2023-09-25 21:08:13.886078,BSI,8625901097,3843880.0,133.0,Processed,1500,6400068
FTJWOERNANX,2022-10-20 21:08:13.889075,Dana,4353867513,1099321.0,449.0,Cancelled,1500,8020048
FTQIHPCMEEB,2023-08-09 21:08:13.891075,BJB,1597094366,4466666.0,75.0,Success,1500,5239074
FTOIPTXODZE,2023-01-09 21:08:13.892542,Shopeepay,9415332785,3845216.0,381.0,Checking,1500,9783435
FTVJNJNFVNW,2023-02-25 21:08:13.893874,Seabank,1215573149,1998595.0,568.0,Failed,1500,5804069
FTZZXHPGOSI,2022-10-03 21:08:13.896878,BJB,8159284660,2670781.0,650.0,Failed,1500,2134731
FTRFTDAPXKX,2023-08-24 21:08:13.898882,JAGO,5188372409,225296.0,872.0,Checking,1500,8640712
FTNTIMZASQX,2024-01-21 21:08:13.900874,JAGO,7927023255,3449326.0,716.0,Failed,1500,7121134
FTYMOIVXHIQ,2024-01-20 21:08:13.902877,LinkAja,6632486737,4934156.0,411.0,Success,0,3200751
FTCKCCNQSBF,2022-10-16 21:08:13.906071,Permata,8700922299,1336978.0,217.0,Failed,1500,6498341
FTZKJMSEVAA,2023-02-18 21:08:13.908583,Ovo,8913206803,1358098.0,258.0,Checking,0,8695525
FTGVDOBOIRI,2022-07-12 21:08:13.910583,Ovo,1660228904,2314658.0,53.0,Failed,0,7582581
FTZBPVWKELX,2023-08-06 21:08:13.914049,Permata,7826339463,4204915.0,317.0,Processed,1500,4912283
FTXEVYAPVQG,2023-12-10 21:08:13.915919,Shopeepay,7853461414,298108.0,470.0,Checking,0,6400068
FTXVLYXMHQT,2022-12-23 21:08:13.917782,Seabank,8656134840,1584112.0,478.0,Checking,0,3094327
FTTYGNWUZGX,2023-01-29 21:08:13.919782,Permata,8880957980,2314901.0,765.0,Need Confirmation,0,2062498
FTTCBVSPOYQ,2022-07-17 21:08:13.921783,JAGO,4170303946,4794599.0,692.0,Cancelled,1500,2694045
FTDOASEOERX,2023-10-17 21:08:13.923782,BSI,6139382072,1187231.0,458.0,Processed,1500,8497477
FTPNZRRWWEP,2022-11-15 21:08:13.925783,Gopay,2502131651,2686850.0,768.0,Need Confirmation,0,4451779
FTEFBWSYDKY,2024-04-03 21:08:13.927619,Dana,6619457318,4347972.0,911.0,Checking,1500,2959133
FTMWAORLZAX,2022-05-29 21:08:13.929010,JAGO,3902559290,4767687.0,973.0,Need Confirmation,0,6498341
FTXBQOBGQYP,2023-12-29 21:08:13.932013,Dana,1533309985,1284150.0,85.0,Success,0,6607671
FTGNYFHEQXS,2022-07-08 21:08:13.934015,Ovo,5157330279,2999689.0,590.0,Checking,1500,9393823
FTJHDZEGXKH,2023-04-18 21:08:13.937014,Seabank,3483123982,3452830.0,328.0,Processed,0,8046879
FTHVFSFULZG,2023-03-17 21:08:13.939727,BNI,3480358695,1468956.0,97.0,Success,0,4588801
FTCVEJZFURW,2023-04-24 21:08:13.944890,BRI,7301066408,206485.0,252.0,Need Confirmation,1500,8695525
FTLIFKHBUHC,2024-01-07 21:08:13.945932,JAGO,5517596521,2531031.0,544.0,Success,1500,7465772
FTZFXHLEVJY,2023-02-11 21:08:13.946843,BCA,3842387620,2741259.0,371.0,Checking,0,7780649
FTJAQGMIIDL,2023-08-29 21:08:13.948933,BCA,8910120155,3302671.0,992.0,Success,0,8627508
FTMIFCGXQOF,2023-11-05 21:08:13.949939,Seabank,4891673381,3164241.0,710.0,Cancelled,0,1403838
FTRRRPKCAST,2023-10-01 21:08:13.950844,BSI,1007059595,4993741.0,441.0,Success,1500,9726509
FTRWWDEPQMM,2023-06-29 21:08:13.952927,BCA,4532061327,3585508.0,733.0,Checking,0,6488399
FTXNBEXRAXQ,2024-01-13 21:08:13.953930,JAGO,7608505013,2871441.0,151.0,Checking,1500,4565447
FTPMRCPCRON,2024-02-20 21:08:13.954936,BCA,5487149436,25365.0,899.0,Failed,0,7833952
FTGJGMLPXCF,2023-06-19 21:08:13.955932,BCA,7670223868,358389.0,169.0,Checking,1500,4254157
FTGMTZBMXZR,2023-09-26 21:08:13.956934,Gopay,4376922856,169393.0,788.0,Failed,1500,8020048
FTXJFYOGZPO,2022-08-22 21:08:13.957841,BCA,6311819689,195005.0,297.0,Need Confirmation,0,6075878
FTLGWJGUOPO,2024-01-07 21:08:13.958842,Dana,1934380922,3056364.0,108.0,Failed,1500,9431422
FTDNEBTOYKK,2024-04-12 21:08:13.959842,BNI,2377175046,3270268.0,696.0,Failed,0,9726509
FTJUSJEQKVJ,2023-08-09 21:08:13.960843,BRI,5201398314,2241801.0,478.0,Checking,0,4565447
FTUZQDIRZWC,2022-12-08 21:08:13.962740,BSI,9849396460,2485861.0,401.0,Need Confirmation,0,8020048
FTRGKKGIZKO,2022-07-23 21:08:13.966246,Dana,2736759275,563728.0,222.0,Success,1500,3094327
FTHJXSCUZQI,2023-04-19 21:08:13.969246,BNI,3449810354,2048264.0,767.0,Success,1500,6516326
FTPQWBSZSEG,2022-12-07 21:08:13.972152,Shopeepay,6979293196,539497.0,602.0,Checking,0,7465772
FTBVLCVZCPU,2022-08-03 21:08:13.976155,BJB,1976492562,809917.0,187.0,Processed,0,8640712
FTDHQLYBTTY,2023-03-16 21:08:13.980151,BRI,7761168733,2248930.0,329.0,Success,0,8557757
FTNTKADMHVJ,2023-04-30 21:08:13.984516,BNI,6470921128,47016.0,669.0,Processed,1500,3408650
FTIUPELZYJB,2023-04-08 21:08:13.987428,Mandiri,5186248470,2744965.0,881.0,Need Confirmation,0,6275968
FTMOZPJJOJW,2023-09-13 21:08:13.990435,Gopay,2036438379,446740.0,450.0,Cancelled,1500,8046879
FTOPWNKTCJM,2023-01-16 21:08:13.994025,BSI,8279564205,2835847.0,398.0,Processed,0,2458317
FTZATRMDWJZ,2024-04-23 21:08:13.999113,LinkAja,5210421736,2935852.0,319.0,Need Confirmation,0,5033990
FTSUQNWMRMW,2023-04-04 21:08:14.002115,BCA,2464549004,3917498.0,410.0,Processed,0,9364555
FTXCRYXCKBB,2022-11-22 21:08:14.004116,Ovo,1383533009,235565.0,884.0,Need Confirmation,0,7602999
FTXAXKEQCQG,2023-08-10 21:08:14.007123,BRI,5163779116,2422834.0,972.0,Checking,0,8627508
FTWOOJJSROK,2022-11-12 21:08:14.009037,BRI,3100672636,4918700.0,700.0,Processed,1500,8640712
FTPSVRPLNGW,2023-05-28 21:08:14.012084,JAGO,2708006766,4762626.0,434.0,Need Confirmation,0,5891500
FTFNPGJWBBB,2022-10-27 21:08:14.014042,Seabank,6457845546,2663383.0,145.0,Success,1500,4912283
FTAFVZOHKXS,2023-04-13 21:08:14.017040,Ovo,2057530770,121059.0,116.0,Processed,1500,8640712
FTDDACDHNIU,2022-11-01 21:08:14.018476,Dana,5864422577,2033211.0,508.0,Processed,1500,4553294
FTBQXODXTES,2022-05-19 21:08:14.020843,BJB,6308221436,1836532.0,979.0,Processed,1500,7121134
FTORFSNHPAX,2022-11-16 21:08:14.024191,Shopeepay,5112310894,3049050.0,551.0,Checking,1500,4578856
FTAJRRTLNVY,2022-12-28 21:08:14.026387,BNI,8727428191,689471.0,70.0,Checking,0,8003653
