Deposit_ID,Deposit_Date,Amount,Worker_ID,Interest_Rate_ID,Account_Number,Bank_ID
001,1915-05-11,37622,9749,040,100,3202
002,1930-09-20,19804,8820,074,023,3722
003,1979-08-08,56874,4544,018,012,6417
004,1926-06-10,19747,5991,135,096,9692
005,2016-09-11,63332,9972,168,053,9957
006,2002-08-07,88011,8730,187,011,5919
007,1966-09-01,58766,5422,036,076,2376
008,1940-09-30,76032,3806,073,170,7364
009,1965-07-24,68587,2471,192,105,6610
010,2024-12-29,58268,4374,093,178,0277
011,1942-01-23,41028,1004,008,117,6221
012,1936-09-14,87349,1250,100,193,1736
013,1998-04-22,18102,2471,180,049,3155
014,1980-03-01,68994,8693,024,153,5742
015,2005-08-18,60630,0956,170,089,0212
016,1958-07-22,59496,5864,096,108,3237
017,1911-12-22,30704,7735,193,043,7030
018,2001-03-19,69474,7735,120,101,6753
019,1990-03-10,97037,1312,135,069,0212
020,1987-12-02,1215,0722,173,098,9806
021,2016-04-13,59811,0713,078,127,8300
022,1916-12-25,66493,4887,014,065,8769
023,1943-05-12,46775,0472,090,031,0925
024,1900-07-29,29856,8630,071,024,6518
025,1926-11-28,17721,6223,007,156,0758
026,2016-03-08,15431,1705,067,187,8245
027,1916-02-16,13092,7735,120,193,1736
028,1934-02-14,58878,0776,047,079,6844
029,1947-01-24,78692,4723,179,162,2905
030,1997-05-30,99921,2014,145,146,2348
031,1967-11-09,3448,0472,081,007,3396
032,1937-12-17,3506,3419,041,106,7844
033,1958-05-03,83400,3479,169,031,0925
034,1900-04-26,91901,5823,106,093,0277
035,1972-09-27,11801,6334,062,035,5555
036,2013-07-02,27708,9404,008,023,3722
037,1999-05-28,33097,5864,177,159,3084
038,1909-12-17,34823,8845,166,110,9672
039,2011-12-20,54884,8174,006,103,2905
040,1928-09-29,95558,0218,048,196,0877
041,1903-01-19,5604,6767,028,044,9767
042,1931-04-12,46707,5307,033,059,0758
043,1929-05-17,52109,1159,196,110,9672
044,1920-10-05,83159,3267,082,105,6610
045,1947-08-28,47288,9416,065,157,9827
046,2009-11-08,96931,6767,077,132,2009
047,1996-10-10,87260,9771,166,003,2372
048,1950-08-22,53468,7187,182,114,0527
049,1990-02-27,95234,8330,151,158,3459
050,2021-10-10,70861,2307,166,001,6610
051,1959-09-15,66786,1990,026,074,2784
052,1996-04-20,95684,8379,175,053,9957
053,1981-02-18,62069,8693,037,108,3237
054,1952-01-05,99820,8065,178,194,0758
055,1980-01-12,94330,1159,185,057,3722
056,1993-01-24,83298,1159,147,041,0212
057,2001-07-09,72243,6325,125,049,3155
058,1901-06-24,379,8769,149,038,9692
059,1976-10-25,13971,9187,161,121,1303
060,1923-07-04,10492,2169,161,173,9761
